GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tiketsys,com.spring.tiketsys.security.exceptions,TicketException,3,4,0,0,1,2,1,1,1,1
tiketsys,com.spring.tiketsys.dto.entity,Ticket,124,54,9,7,31,15,26,5,18,5
tiketsys,com.spring.tiketsys.dto.entity,History_of_Communication,350,0,44,0,50,0,47,0,25,0
tiketsys,com.spring.tiketsys.dto.entity,User,68,36,3,3,22,12,18,3,15,3
tiketsys,com.spring.tiketsys.dto.entity,Survey,98,17,1,1,31,6,15,1,14,1
tiketsys,com.spring.tiketsys.dto.entity,State_of_Ticket,22,11,1,1,8,4,6,1,5,1
tiketsys,com.spring.tiketsys.dto.entity,TicketElement,180,0,26,0,21,0,29,0,16,0
tiketsys,com.spring.tiketsys.dto.entity,UserType,13,20,1,1,4,8,3,4,2,4
tiketsys,com.spring.tiketsys.dto.entity,TicketPriority,19,14,1,1,7,5,5,2,4,2
tiketsys,com.spring.tiketsys.dto.entity,TicketType,19,14,1,1,7,5,5,2,4,2
tiketsys,com.spring.tiketsys.dto.entity,TicketTracking,94,39,6,2,29,15,21,4,17,4
tiketsys,com.spring.tiketsys.controller.survey,SurveyController,53,104,0,0,11,21,1,3,1,3
tiketsys,com.spring.tiketsys.dto.entity.compundkeys,History_of_CommunicationId,75,0,10,0,5,0,13,0,8,0
tiketsys,com.spring.tiketsys.dto.entity.compundkeys,TicketElementId,75,0,10,0,5,0,13,0,8,0
tiketsys,com.spring.tiketsys.controller.ticket,TicketTrackingController,164,347,5,7,30,71,6,9,1,8
tiketsys,com.spring.tiketsys.controller.ticket,TicketController,63,599,3,19,13,119,4,16,1,8
tiketsys,com.spring.tiketsys.controller.socket,WebSocketController,6,0,0,0,2,0,2,0,2,0
tiketsys,com.spring.tiketsys.security.entity,Message,4,9,0,0,2,4,1,2,1,2
tiketsys,com.spring.tiketsys.security.jwt,JwtProvider,123,4,4,0,35,1,5,1,3,1
tiketsys,com.spring.tiketsys.security.jwt,JwtChecker,145,0,6,0,44,0,11,0,8,0
tiketsys,com.spring.tiketsys.service,History_of_CommunicationService,82,0,0,0,17,0,5,0,5,0
tiketsys,com.spring.tiketsys.service,SurveyService,40,0,2,0,10,0,5,0,4,0
tiketsys,com.spring.tiketsys.service,TicketPriorityService,46,0,4,0,9,0,6,0,4,0
tiketsys,com.spring.tiketsys.service,GCPService,91,0,0,0,18,0,4,0,4,0
tiketsys,com.spring.tiketsys.service,UserService,38,0,2,0,9,0,7,0,6,0
tiketsys,com.spring.tiketsys.service,TicketService,78,0,0,0,18,0,14,0,14,0
tiketsys,com.spring.tiketsys.service,UserTypeService,38,0,4,0,8,0,5,0,3,0
tiketsys,com.spring.tiketsys.service,State_of_TicketService,38,0,4,0,8,0,5,0,3,0
tiketsys,com.spring.tiketsys.service,TicketTrackingService,51,0,0,0,8,0,6,0,6,0
tiketsys,com.spring.tiketsys.service,TicketTypeService,50,0,6,0,11,0,6,0,3,0
tiketsys,com.spring.tiketsys.service,TicketElementService,42,0,0,0,8,0,3,0,3,0
tiketsys,com.spring.tiketsys.config,GcpStorageConfig,19,0,2,0,4,0,3,0,2,0
tiketsys,com.spring.tiketsys.config,WebSocketConfiguration,32,0,0,0,9,0,4,0,4,0
tiketsys,com.spring.tiketsys.config,Encrypter,6,30,0,0,1,8,1,3,1,3
tiketsys,com.spring.tiketsys.config,MyWebSocketHandler,36,0,0,0,11,0,3,0,3,0
tiketsys,com.spring.tiketsys.config,JsonOptions,8,13,0,0,2,4,0,2,0,2
tiketsys,com.spring.tiketsys.controller.user,UserController,207,225,9,5,43,42,10,8,3,8
tiketsys,com.spring.tiketsys.controller.gpc,CloudStorageController,43,0,0,0,10,0,3,0,3,0
tiketsys,com.spring.tiketsys.dto.model,TicketTrackingDTO,66,0,0,0,28,0,14,0,14,0
tiketsys,com.spring.tiketsys.dto.model,TicketTypeDTO,26,0,0,0,12,0,6,0,6,0
tiketsys,com.spring.tiketsys.dto.model,UserTypeDTO,26,0,0,0,12,0,6,0,6,0
tiketsys,com.spring.tiketsys.dto.model,History_of_CommunicationDTO,66,0,0,0,28,0,14,0,14,0
tiketsys,com.spring.tiketsys.dto.model,State_of_TicketDTO,26,0,0,0,12,0,6,0,6,0
tiketsys,com.spring.tiketsys.dto.model,TicketDTO,89,0,0,0,37,0,18,0,18,0
tiketsys,com.spring.tiketsys.dto.model,SurveyDTO,53,0,0,0,22,0,11,0,11,0
tiketsys,com.spring.tiketsys.dto.model,UserDTO,56,0,0,0,24,0,12,0,12,0
tiketsys,com.spring.tiketsys.dto.model,TicketPriorityDTO,26,0,0,0,12,0,6,0,6,0
tiketsys,com.spring.tiketsys.dto.model,TicketElementDTO,36,0,0,0,16,0,8,0,8,0
tiketsys,com.spring.tiketsys,TiketsysApplication.Tests,2,3,0,0,1,1,1,1,1,1
tiketsys,com.spring.tiketsys,TiketsysApplication,8,0,0,0,3,0,2,0,2,0
